zipcode,latitude,longitude,city,longitude,zcta,population,population_density,county_name,area_sq_miles
00754,18.1447,-65.97565,San Lorenzo,PR,TRUE,36728,283.7,San Lorenzo,49.993
00757,17.9933,-66.39056,Santa Isabel,PR,TRUE,19853,236.3,Santa Isabel,32.468
00765,18.12365,-65.43013,Vieques,PR,TRUE,8078,66,Vieques,47.256
00766,18.13039,-66.4757,Villalba,PR,TRUE,21572,218.2,Villalba,38.155
00767,18.07033,-65.89618,Yabucoa,PR,TRUE,29962,209.7,Yabucoa,55.179
00769,18.09459,-66.3607,Coamo,PR,TRUE,33602,168.3,Coamo,77.076
00771,18.18797,-65.86916,Las Piedras,PR,TRUE,35094,403.3,Las Piedras,33.601
00772,18.43048,-65.90377,Loiza,PR,TRUE,16829,397.6,Loíza,16.343
00773,18.34073,-65.72756,Luquillo,PR,TRUE,17532,280.9,Luquillo,24.1
00775,18.31387,-65.28618,Culebra,PR,TRUE,1387,46,Culebra,11.647
00777,18.22365,-65.90904,Juncos,PR,TRUE,37446,538.4,Juncos,26.854
00778,18.26319,-65.97938,Gurabo,PR,TRUE,40203,525.8,Gurabo,29.523
00780,18.09998,-66.57032,Coto Laurel,PR,TRUE,13446,271.3,Ponce,19.116
00782,18.22501,-66.22452,Comerio,PR,TRUE,18128,250.2,Comerío,27.98
00783,18.30348,-66.32851,Corozal,PR,TRUE,34259,314.1,Corozal,42.112
00784,18.00558,-66.13651,Guayama,PR,TRUE,34981,202.4,Guayama,66.735
00786,18.1357,-66.22881,La Plata,PR,TRUE,165,36.1,Aibonito,1.764
00791,18.14391,-65.81398,Humacao,PR,TRUE,45455,411.6,Humacao,42.636
00794,18.19934,-66.31179,Barranquitas,PR,TRUE,28668,322.5,Barranquitas,34.319
00795,18.05128,-66.49485,Juana Diaz,PR,TRUE,43367,280.3,Juana Díaz,59.796
00802,18.34349,-64.9287,St Thomas,VI,TRUE,,,St. Thomas,29.834
00820,17.7388,-64.70695,Christiansted,VI,TRUE,,,St. Croix,43.122
00830,18.33857,-64.73802,St John,VI,TRUE,,,St. John,19.387
00840,17.72649,-64.84717,Frederiksted,VI,TRUE,,,St. Croix,30.995
00850,17.72763,-64.79122,Kingshill,VI,TRUE,,,St. Croix,8.581
00851,17.74757,-64.78737,Kingshill,VI,TRUE,,,St. Croix,0.371
00901,18.46478,-66.10277,San Juan,PR,TRUE,6398,2434.5,San Juan,1.015
00907,18.45287,-66.08381,San Juan,PR,TRUE,15817,2989,San Juan,2.043
00909,18.44131,-66.06866,San Juan,PR,TRUE,5633,3331.3,San Juan,0.653
00911,18.45133,-66.05636,San Juan,PR,TRUE,7297,5920.5,San Juan,0.476
00912,18.44503,-66.05995,San Juan,PR,TRUE,5845,6085.5,San Juan,0.371
00913,18.45024,-66.04275,San Juan,PR,TRUE,6943,8274.4,San Juan,0.324
00915,18.43673,-66.04576,San Juan,PR,TRUE,24607,6777.8,San Juan,1.403
00917,18.4208,-66.04989,San Juan,PR,TRUE,17116,4840.4,San Juan,1.365
00918,18.42139,-66.06774,San Juan,PR,TRUE,16172,2314.5,San Juan,2.698
00920,18.41904,-66.09023,San Juan,PR,TRUE,15900,1700.7,San Juan,3.61
00921,18.39206,-66.0871,San Juan,PR,TRUE,33119,4166.8,San Juan,3.069
00923,18.41146,-66.03715,San Juan,PR,TRUE,24551,4716,San Juan,2.008
00924,18.39987,-66.01344,San Juan,PR,TRUE,49922,4133.4,San Juan,4.662
00925,18.40028,-66.05058,San Juan,PR,TRUE,4882,4229.1,San Juan,0.446
00926,18.34691,-66.05434,San Juan,PR,TRUE,92284,1535,San Juan,23.212
00927,18.38884,-66.07149,San Juan,PR,TRUE,13868,2210,San Juan,2.423
00934,18.41372,-66.11998,Fort Buchanan,PR,TRUE,38,10.3,Guaynabo,1.419
00949,18.43166,-66.21349,Toa Baja,PR,TRUE,65867,1235.7,Toa Baja,20.58
00950,18.46201,-66.23917,Toa Baja,PR,TRUE,0,0,Dorado,2.664
00951,18.43175,-66.25628,Toa Baja,PR,TRUE,389,140.2,Toa Baja,1.071
00952,18.42874,-66.18897,Sabana Seca,PR,TRUE,8165,1421.8,Toa Baja,2.217
00953,18.36319,-66.24764,Toa Alta,PR,TRUE,66156,957.1,Toa Alta,26.691
00956,18.32121,-66.17185,Bayamon,PR,TRUE,66734,939.7,Bayamón,27.421
00957,18.36696,-66.18857,Bayamon,PR,TRUE,40194,3575,Bayamón,4.341
00959,18.3852,-66.15583,Bayamon,PR,TRUE,46260,2931.4,Bayamón,6.093
00960,18.41674,-66.14365,Bayamon,PR,TRUE,3025,832.8,Bayamón,1.402
00961,18.40987,-66.16415,Bayamon,PR,TRUE,28888,2091.4,Bayamón,5.398
00962,18.43514,-66.13949,Catano,PR,TRUE,18947,1519,Cataño,4.816
00965,18.42853,-66.11175,Guaynabo,PR,TRUE,5848,2494.4,Guaynabo,0.905
00966,18.39784,-66.11394,Guaynabo,PR,TRUE,18791,2879,Guaynabo,2.52
00968,18.40609,-66.10123,Guaynabo,PR,TRUE,3633,3076.8,Guaynabo,0.456
00969,18.36696,-66.11,Guaynabo,PR,TRUE,42231,3236.4,Guaynabo,5.038
00971,18.32067,-66.11751,Guaynabo,PR,TRUE,24367,587.1,Guaynabo,16.026
00976,18.33903,-65.99286,Trujillo Alto,PR,TRUE,60620,1342.4,Trujillo Alto,17.435
00979,18.43734,-66.0089,Carolina,PR,TRUE,14776,1467.1,Carolina,3.889
00982,18.40961,-65.99143,Carolina,PR,TRUE,14050,3760.2,Carolina,1.447
00983,18.41788,-65.98104,Carolina,PR,TRUE,31472,2812,Carolina,4.321
00985,18.40628,-65.94767,Carolina,PR,TRUE,30497,1275.1,Carolina,9.235
00987,18.34115,-65.94257,Carolina,PR,TRUE,55747,830.1,Carolina,25.931
01001,42.06262,-72.62521,Agawam,MA,TRUE,16234,555.1,Hampden,11.292
01002,42.37633,-72.46462,Amherst,MA,TRUE,26370,191.2,Hampshire,53.256
01005,42.42117,-72.10655,Barre,MA,TRUE,5204,46.5,Worcester,43.189
01007,42.28163,-72.40009,Belchertown,MA,TRUE,15419,108.5,Hampshire,54.869
01008,42.18234,-72.95819,Blandford,MA,TRUE,1327,8.4,Hampden,61.187
